DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST

zookeeper,None,None,Random Forest,false,false,false,0.3868574622831589,0.05670919472449998,0.6367858731606499,0.11227740736675393,3.090909090909091,2.727272727272727,205.95454545454547,40.68181818181818,0.200865001720823,408
zookeeper,None,None,Naive Bayes,false,false,false,0.5147057866706821,0.09296996255655471,0.6698462862432508,0.1591248333704822,9.318181818181818,6.136363636363637,411.22727272727275,78.22727272727273,0.17564119869674813,788
zookeeper,None,None,IBk,false,false,false,0.48906363703117817,0.08821894148597464,0.667371641420529,0.15086713787025172,13.272727272727273,10.5,615.5454545454545,118.04545454545455,0.21914232896475497,1190
zookeeper,None,None,Random Forest,true,false,false,0.48633123750777707,0.0809735428170083,0.6445948490806066,0.14260556386414283,16.454545454545453,13.272727272727273,821.4545454545455,158.63636363636363,0.19375368873651874,1599
zookeeper,None,None,Naive Bayes,true,false,false,0.5399538413347703,0.09590259304499976,0.6377354246583903,0.1649793414645291,24.136363636363637,15.909090909090908,1027.5,194.72727272727272,0.16018485032331378,1962
zookeeper,None,None,IBk,true,false,false,0.5226641650928091,0.09297615225010904,0.6399792759401469,0.15949227012725636,28.227272727272727,20.045454545454547,1232.0454545454545,234.4090909090909,0.23198237954236917,2364
zookeeper,None,None,Random Forest,true,true,false,0.4255703667305578,0.14138219138505068,0.6452450241944659,0.18557605307268776,47.81818181818182,57.81818181818182,1402.9545454545455,258.59090909090907,0.21362362179234493,2642
zookeeper,None,None,Naive Bayes,true,true,false,0.43915918470862025,0.15927136711959575,0.6370066193443309,0.2051350837905516,60.09090909090909,67.31818181818181,1602.1363636363637,290.09090909090907,0.17118552949662785,2967
zookeeper,None,None,IBk,true,true,false,0.38770999774312515,0.1893876501162051,0.6310015784573741,0.20904403893923493,79.36363636363636,111.54545454545455,1766.590909090909,314.59090909090907,0.20198130042966744,3256
zookeeper,None,None,Random Forest,true,false,true,0.3877326033995447,0.1705199078318573,0.6237474756940001,0.196696230925048,79.4090909090909,111.5909090909091,1975.2272727272727,358.3181818181818,0.1884407711846185,3694
zookeeper,None,None,Naive Bayes,true,false,true,0.39560368237264587,0.16341621591444416,0.6250607910930301,0.1947714288534427,84.0909090909091,113.54545454545455,2181.9545454545455,397.40909090909093,0.15310136224689955,4087
zookeeper,None,None,IBk,true,false,true,0.39909215720499597,0.1555789384974071,0.6255702904010404,0.1903534614734662,87.68181818181819,116.22727272727273,2387.9545454545455,437.59090909090907,0.22950252550001507,4491
